C, r, R, R, R, R, L, R, R, L, r, R, R, R, R, L, R, R	0	 at 	-0.093774041			PREZERO after 18 iterates
C, r, R, R, R, R, L, R, R, R, r, R, R, R, R, L, R, R		 at 	-0.093774198	
C, r, R, R, R, R, L, R, R, R, L, R, R, r, R, R, R, R		 at 	-0.093781891	
C, r, R, R, R, R, L, R, R, R, L, R, L, r, R, R, R, R		 at 	-0.093782048	
C, r, R, R, R, R, L, R, R, R, L, R, r, R, R, R, R, R		 at 	-0.093782833	
C, r, R, R, R, R, L, R, R, R, L, R, r, R, R, R, R, L		 at 	-0.09378299	
C, r, R, R, R, R, L, R, R, R, L, L, L, R, R, L, L, L		 at 	-0.093783618	
C, r, R, R, R, R, L, R, R, R, L, L, L, L, R, R, R, R		 at 	-0.093783775	
C, r, R, R, R, R, L, R, R, R, L, r, R, R, R, R, R, r		 at 	-0.093786601	
C, r, R, R, R, R, L, R, R, R, L, r, R, R, R, R, L, R		 at 	-0.093786758	
C, r, R, R, R, R, L, R, R, R, R, r, R, R, R, R, L, R		 at 	-0.093786915	
C, r, R, R, R, R, L, R, R, R, R, r, R, R, R, R, L, L		 at 	-0.093787072	
C, r, R, R, R, R, L, R, R, R, R, L, r, R, R, R, R, R		 at 	-0.093792253	
C, r, R, R, R, R, L, R, R, R, R, L, r, R, R, R, R, L		 at 	-0.09379241	
C, r, R, R, R, R, L, R, R, R, R, R, L, r, R, R, R, R		 at 	-0.093794922	
C, r, R, R, R, R, L, R, R, R, R, R, R, r, R, R, R, R		 at 	-0.093795079	
C, r, R, R, R, R, r, R, R, R, R, R, R, R, R, R, R, R		 at 	-0.094311452	
C, r, R, R, R, R, r, R, R, R, R, R, R, R, R, R, R, R		 at 	-0.094311609	
C, r, R, R, R, R, r, R, R, R, R, R, R, R, R, R, L, r		 at 	-0.094311923	
C, r, R, R, R, R, r, R, R, R, R, R, R, R, R, R, L, L		 at 	-0.09431208	
C, r, R, R, R, R, r, R, R, R, R, R, R, R, R, L, r, R		 at 	-0.094312708	
C, r, R, R, R, R, r, R, R, R, R, R, R, R, R, L, L, L		 at 	-0.094312865	
C, r, R, R, R, R, r, R, R, R, R, R, R, L, L, R, L, R		 at 	-0.094318517	
C, r, R, R, R, R, r, R, R, R, R, R, R, L, L, L, L, R		 at 	-0.094318674	
C, r, R, R, R, R, r, R, R, R, R, R, R, r, R, R, R, R		 at 	-0.094323384	
C, r, R, R, R, R, r, R, R, R, R, R, R, r, R, R, R, R	0	 at 	-0.094323541			PREZERO after 18 iterates
C, r, R, R, R, R, r, R, R, R, R, R, L, r, R, R, R, R	0	 at 	-0.094324169			PREZERO after 18 iterates
C, r, R, R, R, R, r, R, R, R, R, R, L, r, R, R, R, R		 at 	-0.094324326	
C, r, R, R, R, R, r, R, R, R, R, R, L, R, R, L, R, R		 at 	-0.094330449	
C, r, R, R, R, R, r, R, R, R, R, R, L, R, R, L, L, L		 at 	-0.094330606	
