C, r, R, R, R, R, L, R, R, L, R, L, r, R, R, R, R		 at 	-0.09376258	
C, r, R, R, R, R, L, R, R, L, R, r, R, R, R, R, R		 at 	-0.093764621	
C, r, R, R, R, R, L, R, R, L, R, r, R, R, R, R, R		 at 	-0.093764778	
C, r, R, R, R, R, L, R, R, L, R, r, R, R, R, R, L		 at 	-0.093764935	
C, r, R, R, R, R, L, R, R, L, L, r, R, R, R, R, L		 at 	-0.093765092	
C, r, R, R, R, R, L, R, R, L, L, R, R, R, r, R, R		 at 	-0.093767918	
C, r, R, R, R, R, L, R, R, L, L, R, R, R, R, R, R		 at 	-0.093768075	
C, r, R, R, R, R, L, R, R, L, r, R, R, R, R, R, R		 at 	-0.093772942	
C, r, R, R, R, R, L, R, R, L, r, R, R, R, R, R, R		 at 	-0.093773099	
C, r, R, R, R, R, L, R, R, L, r, R, R, R, R, L, L		 at 	-0.09377357	
C, r, R, R, R, R, L, R, R, L, r, R, R, R, R, L, L	0	 at 	-0.093773727			PREZERO after 17 iterates
C, r, R, R, R, R, L, R, R, L, r, R, R, R, R, L, R		 at 	-0.093773884	
C, r, R, R, R, R, L, R, R, R, r, R, R, R, R, L, R		 at 	-0.093774198	
C, r, R, R, R, R, L, R, R, R, r, R, R, R, R, L, R		 at 	-0.093774355	
C, r, R, R, R, R, L, R, R, R, r, R, R, R, R, R, L		 at 	-0.093774826	
C, r, R, R, R, R, L, R, R, R, r, R, R, R, R, R, R		 at 	-0.093774983	
C, r, R, R, R, R, L, R, R, R, L, R, R, R, R, R, R		 at 	-0.093781263	
C, r, R, R, R, R, L, R, R, R, L, R, R, R, L, R, R		 at 	-0.093781577	
C, r, R, R, R, R, L, R, R, R, L, R, r, R, R, R, R		 at 	-0.093782833	
C, r, R, R, R, R, L, R, R, R, L, R, r, R, R, R, R		 at 	-0.09378299	
C, r, R, R, R, R, L, R, R, R, L, L, L, R, R, R, R		 at 	-0.093783461	
C, r, R, R, R, R, L, R, R, R, L, L, L, R, R, L, L		 at 	-0.093783618	
C, r, R, R, R, R, L, R, R, R, L, L, R, r, R, R, R		 at 	-0.093783932	
C, r, R, R, R, R, L, R, R, R, L, L, R, L, R, L, L		 at 	-0.093784089	
